initializing Landau profile
simulation has started, next status update at 10% completion 
time step 57 of 600 completed in 89.3238 seconds
time step 58 of 600 completed in 88.9716 seconds
time step 59 of 600 completed in 84.1042 seconds
time step 60 of 600 completed in 84.2152 seconds
10% done :         n = 60 of 600
time step 61 of 600 completed in 81.4438 seconds
time step 62 of 600 completed in 80.2789 seconds
time step 63 of 600 completed in 81.2088 seconds
time step 64 of 600 completed in 82.8699 seconds
time step 65 of 600 completed in 88.0571 seconds
time step 66 of 600 completed in 87.6148 seconds
time step 67 of 600 completed in 88.7669 seconds
time step 68 of 600 completed in 87.1787 seconds
time step 69 of 600 completed in 88.1013 seconds
time step 70 of 600 completed in 89.5114 seconds
time step 71 of 600 completed in 89.2285 seconds
time step 72 of 600 completed in 87.1373 seconds
time step 73 of 600 completed in 88.8809 seconds
time step 74 of 600 completed in 89.7815 seconds
time step 75 of 600 completed in 85.6832 seconds
time step 76 of 600 completed in 83.8358 seconds
time step 77 of 600 completed in 86.1887 seconds
time step 78 of 600 completed in 86.059 seconds
time step 79 of 600 completed in 82.1318 seconds
time step 80 of 600 completed in 83.3169 seconds
time step 81 of 600 completed in 81.2012 seconds
time step 82 of 600 completed in 81.789 seconds
time step 83 of 600 completed in 82.0862 seconds
time step 84 of 600 completed in 88.521 seconds
time step 85 of 600 completed in 87.4396 seconds
time step 86 of 600 completed in 89.0133 seconds
time step 87 of 600 completed in 80.009 seconds
time step 88 of 600 completed in 81.7376 seconds
time step 89 of 600 completed in 84.7446 seconds
time step 90 of 600 completed in 83.7375 seconds
time step 91 of 600 completed in 87.2796 seconds
time step 92 of 600 completed in 82.8122 seconds
time step 93 of 600 completed in 85.139 seconds
time step 94 of 600 completed in 79.7128 seconds
time step 95 of 600 completed in 81.0004 seconds
time step 96 of 600 completed in 82.0502 seconds
time step 97 of 600 completed in 81.0608 seconds
time step 98 of 600 completed in 80.2789 seconds
time step 99 of 600 completed in 81.513 seconds
time step 100 of 600 completed in 81.1598 seconds
time step 101 of 600 completed in 84.4845 seconds
time step 102 of 600 completed in 83.9284 seconds
time step 103 of 600 completed in 88.8022 seconds
time step 104 of 600 completed in 85.3703 seconds
time step 105 of 600 completed in 78.9044 seconds
time step 106 of 600 completed in 78.7298 seconds
time step 107 of 600 completed in 78.7756 seconds
time step 108 of 600 completed in 78.7633 seconds
time step 109 of 600 completed in 78.7329 seconds
time step 110 of 600 completed in 78.6915 seconds
time step 111 of 600 completed in 78.8253 seconds
time step 112 of 600 completed in 78.7327 seconds
time step 113 of 600 completed in 78.7311 seconds
time step 114 of 600 completed in 78.5374 seconds
time step 115 of 600 completed in 78.6962 seconds
time step 116 of 600 completed in 78.5856 seconds
time step 117 of 600 completed in 78.6091 seconds
time step 118 of 600 completed in 78.6473 seconds
time step 119 of 600 completed in 78.6241 seconds
time step 120 of 600 completed in 78.6846 seconds
time step 121 of 600 completed in 78.7738 seconds
time step 122 of 600 completed in 78.6614 seconds
time step 123 of 600 completed in 78.7947 seconds
time step 124 of 600 completed in 78.7706 seconds
time step 125 of 600 completed in 78.6255 seconds
time step 126 of 600 completed in 78.7185 seconds
time step 127 of 600 completed in 78.7073 seconds
time step 128 of 600 completed in 78.6274 seconds
time step 129 of 600 completed in 78.637 seconds
time step 130 of 600 completed in 78.7185 seconds
time step 131 of 600 completed in 78.6343 seconds
time step 132 of 600 completed in 78.8142 seconds
time step 133 of 600 completed in 78.5886 seconds
time step 134 of 600 completed in 78.8594 seconds
time step 135 of 600 completed in 78.7223 seconds
time step 136 of 600 completed in 78.7363 seconds
time step 137 of 600 completed in 78.7127 seconds
time step 138 of 600 completed in 78.7645 seconds
time step 139 of 600 completed in 78.6909 seconds
time step 140 of 600 completed in 78.7625 seconds
time step 141 of 600 completed in 78.6586 seconds
time step 142 of 600 completed in 78.681 seconds
time step 143 of 600 completed in 78.9587 seconds
time step 144 of 600 completed in 78.7347 seconds
time step 145 of 600 completed in 78.7269 seconds
time step 146 of 600 completed in 78.7179 seconds
time step 147 of 600 completed in 78.6729 seconds
time step 148 of 600 completed in 78.5954 seconds
time step 149 of 600 completed in 78.6831 seconds
time step 150 of 600 completed in 78.761 seconds
25% done :         n = 150 of 600
time step 151 of 600 completed in 78.6664 seconds
time step 152 of 600 completed in 78.8053 seconds
time step 153 of 600 completed in 78.6515 seconds
time step 154 of 600 completed in 78.6655 seconds
time step 155 of 600 completed in 78.7297 seconds
time step 156 of 600 completed in 78.6335 seconds
time step 157 of 600 completed in 78.7296 seconds
time step 158 of 600 completed in 78.6774 seconds
time step 159 of 600 completed in 78.7054 seconds
time step 160 of 600 completed in 78.4599 seconds
time step 161 of 600 completed in 78.5818 seconds
time step 162 of 600 completed in 78.5845 seconds
time step 163 of 600 completed in 78.578 seconds
time step 164 of 600 completed in 78.5948 seconds
time step 165 of 600 completed in 78.6695 seconds
time step 166 of 600 completed in 78.6782 seconds
time step 167 of 600 completed in 78.5627 seconds
time step 168 of 600 completed in 78.6131 seconds
time step 169 of 600 completed in 78.757 seconds
time step 170 of 600 completed in 78.7911 seconds
time step 171 of 600 completed in 78.743 seconds
time step 172 of 600 completed in 78.6059 seconds
time step 173 of 600 completed in 78.6656 seconds
time step 174 of 600 completed in 78.7297 seconds
time step 175 of 600 completed in 78.665 seconds
time step 176 of 600 completed in 78.6983 seconds
time step 177 of 600 completed in 78.7308 seconds
time step 178 of 600 completed in 78.6848 seconds
time step 179 of 600 completed in 78.6608 seconds
time step 180 of 600 completed in 78.7699 seconds
time step 181 of 600 completed in 78.758 seconds
time step 182 of 600 completed in 78.7781 seconds
time step 183 of 600 completed in 78.5882 seconds
time step 184 of 600 completed in 78.8541 seconds
time step 185 of 600 completed in 78.8331 seconds
time step 186 of 600 completed in 78.6703 seconds
time step 187 of 600 completed in 78.5781 seconds
time step 188 of 600 completed in 78.6967 seconds
time step 189 of 600 completed in 78.5741 seconds
time step 190 of 600 completed in 78.6655 seconds
time step 191 of 600 completed in 78.6443 seconds
time step 192 of 600 completed in 78.5573 seconds
time step 193 of 600 completed in 78.5286 seconds
time step 194 of 600 completed in 78.6659 seconds
time step 195 of 600 completed in 78.6234 seconds
time step 196 of 600 completed in 78.6927 seconds
time step 197 of 600 completed in 78.6485 seconds
time step 198 of 600 completed in 78.7304 seconds
time step 199 of 600 completed in 78.7384 seconds
time step 200 of 600 completed in 78.6091 seconds
time step 201 of 600 completed in 78.7315 seconds
time step 202 of 600 completed in 78.5548 seconds
time step 203 of 600 completed in 78.8255 seconds
time step 204 of 600 completed in 78.7456 seconds
time step 205 of 600 completed in 78.7327 seconds
time step 206 of 600 completed in 78.616 seconds
time step 207 of 600 completed in 78.6318 seconds
time step 208 of 600 completed in 78.6689 seconds
time step 209 of 600 completed in 78.6717 seconds
time step 210 of 600 completed in 78.6609 seconds
time step 211 of 600 completed in 78.7175 seconds
time step 212 of 600 completed in 78.5673 seconds
time step 213 of 600 completed in 78.6928 seconds
time step 214 of 600 completed in 78.6433 seconds
time step 215 of 600 completed in 78.5311 seconds
time step 216 of 600 completed in 78.7077 seconds
time step 217 of 600 completed in 78.6426 seconds
time step 218 of 600 completed in 78.7088 seconds
time step 219 of 600 completed in 78.6913 seconds
time step 220 of 600 completed in 78.6062 seconds
time step 221 of 600 completed in 78.6954 seconds
time step 222 of 600 completed in 78.5482 seconds
time step 223 of 600 completed in 78.4598 seconds
time step 224 of 600 completed in 78.5127 seconds
time step 225 of 600 completed in 78.844 seconds
time step 226 of 600 completed in 78.7899 seconds
time step 227 of 600 completed in 78.7389 seconds
time step 228 of 600 completed in 78.5645 seconds
time step 229 of 600 completed in 78.6274 seconds
time step 230 of 600 completed in 78.7109 seconds
time step 231 of 600 completed in 78.6541 seconds
time step 232 of 600 completed in 78.724 seconds
time step 233 of 600 completed in 78.5672 seconds
time step 234 of 600 completed in 78.935 seconds
time step 235 of 600 completed in 78.7402 seconds
time step 236 of 600 completed in 78.7423 seconds
time step 237 of 600 completed in 78.7763 seconds
time step 238 of 600 completed in 78.6551 seconds
time step 239 of 600 completed in 78.75 seconds
time step 240 of 600 completed in 78.587 seconds
time step 241 of 600 completed in 78.6672 seconds
time step 242 of 600 completed in 78.8076 seconds
time step 243 of 600 completed in 78.7738 seconds
time step 244 of 600 completed in 78.6657 seconds
time step 245 of 600 completed in 78.6508 seconds
time step 246 of 600 completed in 78.8157 seconds
time step 247 of 600 completed in 78.8102 seconds
time step 248 of 600 completed in 78.7864 seconds
time step 249 of 600 completed in 78.7277 seconds
time step 250 of 600 completed in 78.721 seconds
time step 251 of 600 completed in 78.8021 seconds
time step 252 of 600 completed in 78.6927 seconds
time step 253 of 600 completed in 78.7954 seconds
time step 254 of 600 completed in 78.7986 seconds
time step 255 of 600 completed in 78.7438 seconds
time step 256 of 600 completed in 78.7027 seconds
time step 257 of 600 completed in 78.7338 seconds
time step 258 of 600 completed in 78.7002 seconds
time step 259 of 600 completed in 78.6121 seconds
time step 260 of 600 completed in 78.7708 seconds
time step 261 of 600 completed in 78.7804 seconds
time step 262 of 600 completed in 78.7507 seconds
time step 263 of 600 completed in 78.8148 seconds
time step 264 of 600 completed in 78.7098 seconds
time step 265 of 600 completed in 78.8361 seconds
time step 266 of 600 completed in 78.6836 seconds
time step 267 of 600 completed in 78.8508 seconds
time step 268 of 600 completed in 81.5454 seconds
time step 269 of 600 completed in 79.6995 seconds
time step 270 of 600 completed in 79.1794 seconds
time step 271 of 600 completed in 79.5107 seconds
time step 272 of 600 completed in 79.4081 seconds
time step 273 of 600 completed in 79.3803 seconds
time step 274 of 600 completed in 79.2586 seconds
time step 275 of 600 completed in 79.4428 seconds
time step 276 of 600 completed in 79.4256 seconds
time step 277 of 600 completed in 79.4438 seconds
time step 278 of 600 completed in 81.2315 seconds
time step 279 of 600 completed in 81.1046 seconds
time step 280 of 600 completed in 79.3181 seconds
time step 281 of 600 completed in 79.219 seconds
time step 282 of 600 completed in 79.3654 seconds
time step 283 of 600 completed in 79.0592 seconds
time step 284 of 600 completed in 81.7681 seconds
time step 285 of 600 completed in 81.226 seconds
time step 286 of 600 completed in 79.9152 seconds
time step 287 of 600 completed in 80.4141 seconds
time step 288 of 600 completed in 81.3072 seconds
time step 289 of 600 completed in 81.0153 seconds
time step 290 of 600 completed in 79.9062 seconds
time step 291 of 600 completed in 83.9621 seconds
time step 292 of 600 completed in 91.9283 seconds
time step 293 of 600 completed in 89.9943 seconds
time step 294 of 600 completed in 89.8293 seconds
time step 295 of 600 completed in 92.0535 seconds
time step 296 of 600 completed in 85.1221 seconds
time step 297 of 600 completed in 83.1721 seconds
time step 298 of 600 completed in 83.3786 seconds
time step 299 of 600 completed in 89.5254 seconds
time step 300 of 600 completed in 83.529 seconds
50% done :         n = 300 of 600
time step 301 of 600 completed in 87.746 seconds
time step 302 of 600 completed in 88.7364 seconds
time step 303 of 600 completed in 84.782 seconds
time step 304 of 600 completed in 86.5088 seconds
time step 305 of 600 completed in 86.7447 seconds
time step 306 of 600 completed in 81.5202 seconds
time step 307 of 600 completed in 82.6442 seconds
time step 308 of 600 completed in 82.5711 seconds
time step 309 of 600 completed in 81.1885 seconds
time step 310 of 600 completed in 88.6832 seconds
time step 311 of 600 completed in 83.0994 seconds
time step 312 of 600 completed in 83.8193 seconds
time step 313 of 600 completed in 83.9362 seconds
time step 314 of 600 completed in 81.6813 seconds
time step 315 of 600 completed in 92.1958 seconds
time step 316 of 600 completed in 93.2518 seconds
time step 317 of 600 completed in 90.8222 seconds
time step 318 of 600 completed in 90.6634 seconds
time step 319 of 600 completed in 89.5451 seconds
time step 320 of 600 completed in 95.6695 seconds
time step 321 of 600 completed in 87.3385 seconds
time step 322 of 600 completed in 85.9894 seconds
time step 323 of 600 completed in 79.7005 seconds
time step 324 of 600 completed in 82.5631 seconds
time step 325 of 600 completed in 82.5342 seconds
time step 326 of 600 completed in 80.1648 seconds
time step 327 of 600 completed in 81.6295 seconds
time step 328 of 600 completed in 80.6919 seconds
time step 329 of 600 completed in 80.6033 seconds
time step 330 of 600 completed in 93.9533 seconds
time step 331 of 600 completed in 91.5863 seconds
time step 332 of 600 completed in 89.0076 seconds
time step 333 of 600 completed in 87.8809 seconds
time step 334 of 600 completed in 91.0135 seconds
time step 335 of 600 completed in 92.8443 seconds
time step 336 of 600 completed in 84.764 seconds
time step 337 of 600 completed in 88.6157 seconds
time step 338 of 600 completed in 82.8211 seconds
time step 339 of 600 completed in 82.9076 seconds
time step 340 of 600 completed in 91.899 seconds
time step 341 of 600 completed in 90.6045 seconds
time step 342 of 600 completed in 84.946 seconds
time step 343 of 600 completed in 82.7264 seconds
time step 344 of 600 completed in 91.3019 seconds
time step 345 of 600 completed in 92.8681 seconds
time step 346 of 600 completed in 82.8357 seconds
time step 347 of 600 completed in 79.3148 seconds
time step 348 of 600 completed in 80.3063 seconds
time step 349 of 600 completed in 79.4683 seconds
time step 350 of 600 completed in 80.3705 seconds
time step 351 of 600 completed in 87.019 seconds
time step 352 of 600 completed in 85.5217 seconds
time step 353 of 600 completed in 79.9813 seconds
time step 354 of 600 completed in 78.4259 seconds
time step 355 of 600 completed in 79.3509 seconds
time step 356 of 600 completed in 86.8545 seconds
time step 357 of 600 completed in 89.557 seconds
time step 358 of 600 completed in 89.2938 seconds
time step 359 of 600 completed in 80.2595 seconds
time step 360 of 600 completed in 86.6095 seconds
time step 361 of 600 completed in 91.9181 seconds
time step 362 of 600 completed in 87.0281 seconds
time step 363 of 600 completed in 85.681 seconds
time step 364 of 600 completed in 86.585 seconds
time step 365 of 600 completed in 81.8685 seconds
time step 366 of 600 completed in 80.6843 seconds
time step 367 of 600 completed in 83.1935 seconds
time step 368 of 600 completed in 79.7092 seconds
time step 369 of 600 completed in 82.2541 seconds
time step 370 of 600 completed in 82.525 seconds
time step 371 of 600 completed in 81.1558 seconds
time step 372 of 600 completed in 85.6965 seconds
time step 373 of 600 completed in 89.3865 seconds
time step 374 of 600 completed in 1321.09 seconds
time step 375 of 600 completed in 79.6053 seconds
time step 376 of 600 completed in 78.2249 seconds
time step 377 of 600 completed in 78.4192 seconds
time step 378 of 600 completed in 78.2665 seconds
time step 379 of 600 completed in 78.2141 seconds
time step 380 of 600 completed in 78.3126 seconds
time step 381 of 600 completed in 78.3291 seconds
time step 382 of 600 completed in 78.0788 seconds
time step 383 of 600 completed in 78.0833 seconds
time step 384 of 600 completed in 78.088 seconds
time step 385 of 600 completed in 78.128 seconds
time step 386 of 600 completed in 78.2171 seconds
time step 387 of 600 completed in 78.1574 seconds
time step 388 of 600 completed in 78.0435 seconds
time step 389 of 600 completed in 78.1312 seconds
time step 390 of 600 completed in 78.1477 seconds
time step 391 of 600 completed in 78.0521 seconds
time step 392 of 600 completed in 78.2247 seconds
time step 393 of 600 completed in 78.1763 seconds
time step 394 of 600 completed in 78.1435 seconds
time step 395 of 600 completed in 78.1954 seconds
time step 396 of 600 completed in 78.0902 seconds
time step 397 of 600 completed in 78.0952 seconds
time step 398 of 600 completed in 78.1581 seconds
time step 399 of 600 completed in 78.065 seconds
time step 400 of 600 completed in 77.9341 seconds
time step 401 of 600 completed in 78.2326 seconds
time step 402 of 600 completed in 78.0522 seconds
time step 403 of 600 completed in 77.9906 seconds
time step 404 of 600 completed in 78.0697 seconds
time step 405 of 600 completed in 77.8884 seconds
time step 406 of 600 completed in 77.8967 seconds
time step 407 of 600 completed in 77.9968 seconds
time step 408 of 600 completed in 78.0208 seconds
time step 409 of 600 completed in 78.0551 seconds
time step 410 of 600 completed in 78.0899 seconds
time step 411 of 600 completed in 77.9064 seconds
time step 412 of 600 completed in 77.9681 seconds
time step 413 of 600 completed in 77.9833 seconds
time step 414 of 600 completed in 77.9982 seconds
time step 415 of 600 completed in 78.0614 seconds
time step 416 of 600 completed in 77.9313 seconds
time step 417 of 600 completed in 78.0293 seconds
time step 418 of 600 completed in 78.0347 seconds
time step 419 of 600 completed in 78.0472 seconds
time step 420 of 600 completed in 78.0216 seconds
time step 421 of 600 completed in 77.9765 seconds
time step 422 of 600 completed in 78.0177 seconds
time step 423 of 600 completed in 78.075 seconds
time step 424 of 600 completed in 78.0275 seconds
time step 425 of 600 completed in 78.0165 seconds
time step 426 of 600 completed in 78.0228 seconds
time step 427 of 600 completed in 78.0056 seconds
time step 428 of 600 completed in 77.9493 seconds
time step 429 of 600 completed in 78.0737 seconds
time step 430 of 600 completed in 77.9477 seconds
time step 431 of 600 completed in 77.9467 seconds
time step 432 of 600 completed in 78.1223 seconds
time step 433 of 600 completed in 78.0582 seconds
time step 434 of 600 completed in 78.0669 seconds
time step 435 of 600 completed in 78.0193 seconds
time step 436 of 600 completed in 78.0359 seconds
time step 437 of 600 completed in 78.0796 seconds
time step 438 of 600 completed in 78.052 seconds
time step 439 of 600 completed in 77.9701 seconds
time step 440 of 600 completed in 77.9675 seconds
time step 441 of 600 completed in 78.054 seconds
time step 442 of 600 completed in 78.1331 seconds
time step 443 of 600 completed in 78.2158 seconds
time step 444 of 600 completed in 78.1034 seconds
time step 445 of 600 completed in 78.0124 seconds
time step 446 of 600 completed in 78.0674 seconds
time step 447 of 600 completed in 78.2536 seconds
time step 448 of 600 completed in 77.9882 seconds
time step 449 of 600 completed in 78.1651 seconds
time step 450 of 600 completed in 78.0272 seconds
75% done :         n = 450 of 600
time step 451 of 600 completed in 78.0309 seconds
time step 452 of 600 completed in 78.0157 seconds
time step 453 of 600 completed in 78.1363 seconds
time step 454 of 600 completed in 78.2649 seconds
time step 455 of 600 completed in 78.1378 seconds
time step 456 of 600 completed in 78.0233 seconds
time step 457 of 600 completed in 78.0377 seconds
time step 458 of 600 completed in 78.1289 seconds
time step 459 of 600 completed in 77.9839 seconds
time step 460 of 600 completed in 78.0367 seconds
time step 461 of 600 completed in 77.9573 seconds
time step 462 of 600 completed in 78.0176 seconds
time step 463 of 600 completed in 78.3823 seconds
time step 464 of 600 completed in 78.1523 seconds
time step 465 of 600 completed in 78.0413 seconds
time step 466 of 600 completed in 78.0575 seconds
time step 467 of 600 completed in 78.1288 seconds
time step 468 of 600 completed in 78.1228 seconds
time step 469 of 600 completed in 77.9899 seconds
time step 470 of 600 completed in 77.9611 seconds
time step 471 of 600 completed in 78.0632 seconds
time step 472 of 600 completed in 78.0372 seconds
time step 473 of 600 completed in 78.0299 seconds
time step 474 of 600 completed in 77.9738 seconds
time step 475 of 600 completed in 78.0435 seconds
time step 476 of 600 completed in 78.0645 seconds
time step 477 of 600 completed in 78.0862 seconds
time step 478 of 600 completed in 78.1145 seconds
time step 479 of 600 completed in 78.1371 seconds
time step 480 of 600 completed in 78.1334 seconds
time step 481 of 600 completed in 78.0287 seconds
time step 482 of 600 completed in 78.1223 seconds
time step 483 of 600 completed in 78.103 seconds
time step 484 of 600 completed in 78.0437 seconds
time step 485 of 600 completed in 77.9808 seconds
time step 486 of 600 completed in 78.0166 seconds
time step 487 of 600 completed in 78.0664 seconds
time step 488 of 600 completed in 78.0776 seconds
time step 489 of 600 completed in 78.1582 seconds
time step 490 of 600 completed in 78.0972 seconds
time step 491 of 600 completed in 78.1692 seconds
time step 492 of 600 completed in 78.1296 seconds
time step 493 of 600 completed in 78.2966 seconds
time step 494 of 600 completed in 77.9802 seconds
time step 495 of 600 completed in 78.2029 seconds
time step 496 of 600 completed in 78.0179 seconds
time step 497 of 600 completed in 78.0679 seconds
time step 498 of 600 completed in 77.9737 seconds
time step 499 of 600 completed in 78.082 seconds
time step 500 of 600 completed in 78.0204 seconds
time step 501 of 600 completed in 78.2328 seconds
time step 502 of 600 completed in 78.131 seconds
time step 503 of 600 completed in 78.1019 seconds
time step 504 of 600 completed in 78.0544 seconds
time step 505 of 600 completed in 78.1144 seconds
time step 506 of 600 completed in 78.0476 seconds
time step 507 of 600 completed in 78.1891 seconds
time step 508 of 600 completed in 78.2906 seconds
time step 509 of 600 completed in 78.1314 seconds
time step 510 of 600 completed in 78.1269 seconds
time step 511 of 600 completed in 78.064 seconds
time step 512 of 600 completed in 78.2013 seconds
time step 513 of 600 completed in 78.1555 seconds
time step 514 of 600 completed in 78.1741 seconds
time step 515 of 600 completed in 78.2417 seconds
time step 516 of 600 completed in 78.0788 seconds
time step 517 of 600 completed in 78.064 seconds
time step 518 of 600 completed in 78.2454 seconds
time step 519 of 600 completed in 78.2611 seconds
time step 520 of 600 completed in 78.0593 seconds
time step 521 of 600 completed in 78.2695 seconds
time step 522 of 600 completed in 78.148 seconds
time step 523 of 600 completed in 78.1766 seconds
time step 524 of 600 completed in 78.1644 seconds
time step 525 of 600 completed in 78.1456 seconds
time step 526 of 600 completed in 78.2389 seconds
time step 527 of 600 completed in 78.1412 seconds
time step 528 of 600 completed in 78.0967 seconds
time step 529 of 600 completed in 78.2035 seconds
time step 530 of 600 completed in 78.3111 seconds
time step 531 of 600 completed in 77.9878 seconds
time step 532 of 600 completed in 78.2108 seconds
time step 533 of 600 completed in 78.1391 seconds
time step 534 of 600 completed in 78.155 seconds
time step 535 of 600 completed in 78.1899 seconds
time step 536 of 600 completed in 78.1152 seconds
time step 537 of 600 completed in 77.9591 seconds
time step 538 of 600 completed in 78.0995 seconds
time step 539 of 600 completed in 78.2325 seconds
time step 540 of 600 completed in 78.0942 seconds
90% done :         n = 540 of 600
time step 541 of 600 completed in 78.1913 seconds
time step 542 of 600 completed in 78.0375 seconds
time step 543 of 600 completed in 78.0805 seconds
time step 544 of 600 completed in 78.0791 seconds
time step 545 of 600 completed in 78.2207 seconds
time step 546 of 600 completed in 78.0852 seconds
time step 547 of 600 completed in 78.1823 seconds
time step 548 of 600 completed in 78.1537 seconds
time step 549 of 600 completed in 78.2297 seconds
time step 550 of 600 completed in 78.084 seconds
time step 551 of 600 completed in 78.0797 seconds
time step 552 of 600 completed in 78.1515 seconds
time step 553 of 600 completed in 78.0909 seconds
time step 554 of 600 completed in 77.9622 seconds
time step 555 of 600 completed in 78.204 seconds
time step 556 of 600 completed in 78.296 seconds
time step 557 of 600 completed in 78.1653 seconds
time step 558 of 600 completed in 78.3718 seconds
time step 559 of 600 completed in 78.1688 seconds
time step 560 of 600 completed in 78.1547 seconds
time step 561 of 600 completed in 78.1805 seconds
time step 562 of 600 completed in 78.1404 seconds
time step 563 of 600 completed in 78.145 seconds
time step 564 of 600 completed in 78.0478 seconds
time step 565 of 600 completed in 78.1132 seconds
time step 566 of 600 completed in 78.1824 seconds
time step 567 of 600 completed in 78.0777 seconds
time step 568 of 600 completed in 78.1918 seconds
time step 569 of 600 completed in 78.0666 seconds
time step 570 of 600 completed in 78.1844 seconds
95% done :         n = 570 of 600
time step 571 of 600 completed in 78.1086 seconds
time step 572 of 600 completed in 78.1225 seconds
time step 573 of 600 completed in 78.1432 seconds
time step 574 of 600 completed in 78.0479 seconds
time step 575 of 600 completed in 77.9852 seconds
time step 576 of 600 completed in 78.1918 seconds
time step 577 of 600 completed in 78.0914 seconds
time step 578 of 600 completed in 78.0164 seconds
time step 579 of 600 completed in 78.0997 seconds
time step 580 of 600 completed in 78.2356 seconds
time step 581 of 600 completed in 78.152 seconds
time step 582 of 600 completed in 78.0288 seconds
time step 583 of 600 completed in 78.1828 seconds
time step 584 of 600 completed in 78.1657 seconds
time step 585 of 600 completed in 78.3699 seconds
time step 586 of 600 completed in 78.153 seconds
time step 587 of 600 completed in 78.1214 seconds
time step 588 of 600 completed in 78.2568 seconds
time step 589 of 600 completed in 78.1422 seconds
time step 590 of 600 completed in 78.101 seconds
time step 591 of 600 completed in 78.1294 seconds
time step 592 of 600 completed in 78.117 seconds
time step 593 of 600 completed in 78.1203 seconds
time step 594 of 600 completed in 78.1776 seconds
time step 595 of 600 completed in 78.133 seconds
time step 596 of 600 completed in 78.1906 seconds
time step 597 of 600 completed in 78.1148 seconds
time step 598 of 600 completed in 78.1869 seconds
time step 599 of 600 completed in 78.359 seconds
time step 600 of 600 completed in 78.1428 seconds
100% done :         end of simulation
total time for simulation = 48091.4 seconds 

